id,title_zh,title_en,title_jp,caption_zh,caption_en,caption_jp,category,posterImage,rarity,hidden,oracle,title_ru,caption_ru,title_es,caption_es,title_tc,caption_tc,series,,,,
161,战胜癌症,Beating Cancer,がんを克服する,它原本是我们这边的，直到它失了控。,It originally belonged to us until it got out of control.,それは元々私たちのものだったが、制御を失った。,life,,legendary,,,Победа над раком,"Оно изначально было на нашей стороне, пока не вышло из-под контроля.",Vencer El Cáncer,"Originalmente era nuestro, hasta que se salió de control.",戰勝癌癥,它原本是我們這邊的，直到它失了控。,,,,,
162,获得律师证,Obtaining A Lawyer’s License,弁護士資格を得る,你的行动，要把你自己人身中的人性，和其他人身中的人性，在任何时候都同样看作是目的，永远不能只看作是手段。,"Your actions must treat humanity in yourself and others always as an end, never merely as a means.",自分自身と他者の人間性を常に目的として扱い、決して手段としてのみ扱ってはならない。,career,,common,,,Получить свидетельство об адвокатской деятельности,"Ваши действия должны рассматривать человеческую природу как в вас самом, так и в других людях всегда как цель, но никогда не только как средство.",Obtener la licencia de abogado,"Tu acción debe tratar la humanidad tanto en tu propia persona como en la de los demás siempre como un fin, y nunca solo como un medio.",獲得律師證,你的行動，要把你自己人身中的人性，和其他人身中的人性，在任何時候都同樣看作是目的，永遠不能只看作是手段。,,,,,
163,通过法考,Passing The Bar Exam,司法試験に合格する,恭喜你拥有了两大财富:朴素法感情与紧急立法权。,Congratulations on gaining two great assets: a sense of justice and emergency legislative power.,朴素な法感情と緊急立法権、二つの大きな財産を手に入れたことを祝う。,career,,common,,,Сдать государственный экзамен по правам,Поздравляю вас с приобретением двух великих богатств: простого чувства права и срочного законодательного права.,Pasar el examen de abogacía,¡Felicidades por tener dos grandes riquezas: el sentimiento legítimo simple y el poder legislativo de urgencia!,通過法考,恭喜你擁有了兩大財富:樸素法感情與緊急立法權。,,,,,
164,完成铁人三项,Completing A Triathlon,トライアスロンを完走する,它不应该简单，如果它简单的话，那么它就是高尔夫了。,"It shouldn’t be easy — if it were, it would be golf.",それが簡単ならゴルフだ。,sports,,rare,,,Завершить триатлон,"Это не должно быть просто, если бы это было просто, то это был бы гольф.",Completar un triatlón,"No debería ser simple, si lo fuera, entonces sería golf.",完成鐵人三項,它不應該簡單，如果它簡單的話，那麽它就是高爾夫了。,,,,,
165,赏樱花,Viewing Cherry Blossoms,桜を見る,在我看完《秒速五厘米》的那个下午，我暗自呢喃我一定要去日本看一场樱花，如今十五年过去了。,"On that afternoon after watching “5 Centimeters Per Second,” I vowed to see cherry blossoms in Japan. Fifteen years have passed.",『秒速5センチメートル』を見た午後、日本で桜を見ようと誓った。十五年が過ぎた。,quest,,common,,,Любование цветущей сакурой,"В тот день, когда я посмотрел ""Секунды в пять сантиметров"", я тихо прошептал себе, что обязательно поеду в Японию посмотреть цветение сакуры. Сейчас прошло пятнадцать лет.",Admirar los cerezos en flor,"En la tarde en que vi ""5 Centímetros por Segundo"", me susurré a mí mismo que tenía que ir a Japón a ver la floración de los cerezos. Ahora han pasado quince años.",賞櫻花,在我看完《秒速五厘米》的那個下午，我暗自呢喃我一定要去日本看一場櫻花，如今十五年過去了。,,,,,
166,自己调一杯酒,Mixing Your Own Drink,自分でドリンクを作る,舀出冰好的冰球，放到杯子里，浇上摇晃均匀好的酒，再摆弄些什么叶子。啊……,"Scoop out the chilled ice sphere, pour in the shaken drink, add some leaves. Ah…",冷やしたアイスボールをすくい、ドリンクを注ぎ、葉を飾る。ああ…,skills,,common,,,Сделайте себе коктейль,"Выложите замороженные шарики льда в стакан, залейте перемешанным напитком и присыпьте листьями. Ах…",Prepara tu propia copa de vino,"Saca las bolas de hielo congeladas, colócalas en la copa, verter el licor bien agitado y luego arreglar unas hojas. Ah...",自己調一杯酒,舀出冰好的冰球，放到杯子裏，澆上搖晃均勻好的酒，再擺弄些什麽葉子。啊……,,,,,
167,和有趣的路牌拍照,Photo With A Funny Road Sign,面白い道路標識と写真を撮る,麦当劳路、幸福路、我在XXX很想你……,"McDonald Road, Happiness Road, “I Miss You In XXX”…",マクドナルド通り、幸福路、XXXで会いたい…,quest,,common,,,Сфотографироваться с интересными дорожными знаками,"Улица Макдональдс, Улица Счастья, я так скучаю по тебе в XXX...",Tomar Fotografías Con Señales De Tráfico Interesantes,"Calle McDonald's, Calle Felicidad, Te echo mucho de menos en XXX...",和有趣的路牌拍照,麥當勞路、幸福路、我在XXX很想你……,,,,,
168,失而复得,Lost And Found,失って再び得る,本来已经不抱希望了，虽然这一趟旅程所有的照片影像都在里面，可是雪越下越大，掩盖了包括脚印在内的所有痕迹。万念俱灰地用脚一片片扫荡着，忽然，好像触碰到了什么硬物。找到了！,"I had lost hope, although all the photo images of the trip were inside, but the snow was getting heavier and heavier, hiding all the traces, including footprints. Sweeping with my feet, I suddenly touched something hard. I found it!",しかし雪はますます重くなり、足跡を含むすべての痕跡を隠してしまった。足で掃いたとき、突然硬いものに触れた。見つけた！,life,,rare,,,Найденное вновь,"Я уже перестал надеяться. В этом устройстве были все фотографии и воспоминания о путешествии, но снег всё заметал, скрыв даже следы ног. В отчаянии я разгребал сугробы ногами, и вдруг — словно коснулся чего-то твёрдого. Нашёл!",Perdido y hallado,"Ya había perdido la esperanza. Dentro estaban todas las fotos y recuerdos del viaje, pero la nieve caía sin parar, cubriendo incluso las huellas. Desesperado, apartaba la nieve con los pies, hasta que de pronto sentí algo duro. ¡Lo encontré!",失而復得,本來已經不抱希望了，雖然這一趟旅程所有的照片影像都在裏面，可是雪越下越大，掩蓋了包括腳印在內的所有痕跡。萬念俱灰地用腳一片片掃蕩著，忽然，好像觸碰到了什麽硬物。找到了！,,,,,
169,完成高考,Finishing The College Entrance Exam,大学入試を終える,也许很快你就会发现，这竟是人生最后一场真正意义的公平竞争。,Perhaps you’ll soon realize this was life’s last truly fair competition.,これが人生最後の本当の公平な勝負だったと気づくだろう。,study,,common,,,Сдать вступительный экзамен в университет,"Возможно, скоро вы поймёте, что это была последняя по-настоящему честная борьба в вашей жизни.",Terminar el examen de ingreso a la universidad,Quizás pronto te des cuenta de que esta es la última competencia realmente justa de tu vida.,完成高考,也許很快你就會發現，這竟是人生最後一場真正意義的公平競爭。,,,,,
170,第一次看海,First Time Seeing The Sea,初めて海を見る,海的那边，是什么呢？,What lies beyond the sea?,海の向こうには何があるのか？,life,,common,,,Первый раз у моря,"То, что за морем?",Ver el mar por primera vez,¿Qué hay al otro lado del mar?,第一次看海,海的那邊，是什麽呢？,,,,,
171,爬野山,Hiking In The Wild,野山を登る,不要怕，山野总有雾灯，这缤纷乐园任你行。,Don’t fear — the wild has guiding lights. Explore this vibrant playground.,山野には霧灯がある。この色とりどりの楽園を進め。,quest,,common,,,Лазание по диким горам,"Не бойся, в горах всегда есть туманные фары, и этот яркий парк открыт для тебя.",Escalar montañas salvajes,"No temas, en las montañas siempre hay faros de niebla, y este colorido parque te espera para que lo explores.",爬野山,不要怕，山野總有霧燈，這繽紛樂園任你行。,,,,,
172,第一次公开演讲,First Public Speech,初めてのスピーチ,还好心跳的声音不会通过声带传出来。,Good thing your heartbeat can’t be heard through the mic.,心臓の音がマイクを通らなくてよかった。,career,,common,,,Первая публичная речь,"К счастью, звук сердцебиения не передается через голосовые связки.",Primera charla pública,"Afortunadamente, el sonido del latido del corazón no se transmite a través de las cuerdas vocales.",第一次公開演講,還好心跳的聲音不會通過聲帶傳出來。,,,,,
173,打针/抽血,Getting A Shot Or Blood Draw,注射／採血を受ける,在我六岁那年，给我打针的护士是一位实习生，她给我扎了三针，我愣是一声没吭。后来换了一位护士长，一次就进去了，我这才放声大哭。,"At six, the trainee nurse gave me three shots — I didn’t flinch. The head nurse came and got it first try, then I cried.",六歳のとき、研修看護師に三度注射されたが、びくともしなかった。本看護師は一発で成功し、そのとき泣いた。,quest,,common,,,Уколы и анализы крови,"Когда мне было шесть лет, укол делала медсестра-стажёр. Она пыталась три раза, а я не издал ни звука. Потом пришла старшая медсестра — с первого раза попала в вену, и вот тогда я разрыдался.",Inyecciones y análisis de sangre,"Cuando tenía seis años, una enfermera en prácticas me puso tres inyecciones seguidas, y yo no solté ni un quejido. Luego vino la jefa de enfermeras, acertó a la primera, y recién entonces rompí a llorar.",打針/抽血,在我六歲那年，給我打針的護士是一位實習生，她給我紮了三針，我楞是一聲沒吭。後來換了一位護士長，一次就進去了，我這才放聲大哭。,,,,,
174,表白,Confession,告白する,只需大胆表达心意，喜欢是勇敢者的游戏。,Just be bold and express your feelings — love is a game for the brave.,大胆に気持ちを伝えよう。恋は勇者のゲームだ。,life,,common,,,Декларация любви,"Нужно смело выражать свои чувства, ведь любить — это игра смелых.",Declaración de amor,"Sólo tienes que expresar tus sentimientos con valentía, el amor es un juego para los valientes.",表白,只需大膽表達心意，喜歡是勇敢者的遊戲。,,,,,
175,读完一本书,Finishing A Book,本を読み終える,读完了，心里好像有一块地方空了，很不舍又很满足。,"Finished reading, yet a space feels empty — reluctant but fulfilled.",読み終えても心にぽっかり穴が開いたようで、名残惜しくも満たされる。,study,,common,,,Прочитать книгу,"Прочёл, как будто в душе освободилось какое-то место, очень жаль и при этом так же удовлетворён.",Terminar de leer un libro,"He terminado de leer, siento que hay un hueco en mi corazón, siento mucha pena pero también mucha satisfacción.",讀完一本書,讀完了，心裏好像有一塊地方空了，很不舍又很滿足。,,,,,
176,不敢说的话终于说出来了,Saying What You’ve Been Afraid To Say,言えなかった言葉をついに言う,深呼吸，慢慢来。好像也没有那么难不是吗？,"Deep breath, take it slow. Not so hard, right?",深呼吸、ゆっくり。そんなに難しくないだろ？,quest,,common,,,"Слова, которые я боялся сказать, наконец-то произнес.","Сделай глубокий вдох, не торопись. Вроде не так уж и сложно, правда?",Por fin he dicho las palabras que no me atrevía a decir.,"Respira profundamente y tómalo con calma. No es tan difícil, ¿verdad?",不敢說的話終於說出來了,深呼吸，慢慢來。好像也沒有那麽難不是嗎？,,,,,
177,WSET三级,WSET Level 3,WSETレベル3,你要不要挑战一下盲测分辨出可口可乐和百事可乐？,Want to try blind-testing Coke vs. Pepsi?,コーラとペプシをブラインドテストしてみる？,skills,,rare,,,WSET III,"Хочешь проверить себя в слепой дегустации, чтобы отличить Кока-Колу от Пепси?",WSET Nivel 3,¿Quieres ponerte a prueba y distinguir a ciegas entre Coca-Cola y Pepsi?,WSET三級,你要不要挑戰一下盲測分辨出可口可樂和百事可樂？,,,,,
178,滑冰,Ice Skating,アイススケート,戴好护膝护肘，扶好扶手，绕场一圈就可以过来打勾了。,"With pads on and holding the rail, one lap and you’re done.",プロテクターを着け手すりを持てば、一周でクリアできる。,sports,,common,,,Катание на коньках,"Наденьте протезы колен и локтей, держась за поручень, совершите круг по площадке и тогда сможете поставить галочку.",Patinar,"Ponte las rodilleras y codos protectores, agarra bien el pasamanos y haz una vuelta alrededor de la pista para luego venir a marcar la casilla.",滑冰,戴好護膝護肘，扶好扶手，繞場一圈就可以過來打勾了。,,,,,
179,摆摊,Running A Street Stall,屋台を出す,不论有没有人买，只要看看，和客人聊你喜爱的东西，偶尔有特别聊得来的，就是幸事一件。,"Whether they buy or not, chatting about what you love — and sometimes connecting — makes it worthwhile.",買われなくても、好きな話をして、たまに意気投合するのが幸せだ。,career,,common,,,установка палатки/трапалки (для торговли),"Без разницы, покупают ли люди или нет, просто посмотреть, поговорить с клиентами о том, что тебе нравится, и время от времени встретить тех, с кем особенно хорошо общаешься — это уже счастье.",Venta ambulante,"No importa si alguien compra o no, simplemente mirar, charlar con los clientes sobre las cosas que te gustan y, de vez en cuando, encontrar a alguien con quien congenies especialmente, es un verdadero placer.",擺攤,不論有沒有人買，只要看看，和客人聊你喜愛的東西，偶爾有特別聊得來的，就是幸事一件。,,,,,
180,小孩上小学,Child Starts Elementary School,子どもが小学校に入る,你看着他出门，希望他慢一点，不知道是在说脚步，还是说时光。,"You watch them leave, wishing they’d slow down — wondering if you mean their steps or time itself.",見送りながら歩みを止めてほしいと願う—それは歩幅か時間か。,life,,common,,,Ребенок пошёл в начальную школу,"Вы смотрите, как он выходит из дома, и хотите, чтобы он пошёл медленнее — не знаете, имеете в виду ли шаги или время.",El niño va a la primaria,"Lo miras salir, esperando que vaya más despacio, sin saber si te refieres a sus pasos o al tiempo.",小孩上小學,你看著他出門，希望他慢一點，不知道是在說腳步，還是說時光。,,,,,
181,小孩上初中,Child Starts Middle School,子どもが中学校に入る,中世纪欧洲民间故事中说青春期的小孩仿佛被恶魔换走了，不然怎么变得那么不一样？要我说，他们没有变，只是需要更多自己的空间了。,"Medieval tales say adolescents were swapped by demons — otherwise how so different? They haven’t changed, just need more space.",中世の物語では思春期の子は悪魔にすり替えられるという。違うのは成長ではなく、スペースが必要なだけ。,life,,common,,,Ребенок ходит в среднюю школу,"В народных сказках средневековой Европы говорится, что подростки, казалось бы, заменены демонами, иначе как объяснить такое изменение? На мой взгляд, они не изменились, они просто нуждаются в большем личном пространстве.",El niño va a la escuela secundaria,"En los cuentos populares europeos medievales se decía que los niños en la adolescencia parecían haber sido cambiados por demonios, ¿por qué de lo contrario habrían cambiado tanto? A mi parecer, no han cambiado, solo necesitan más espacio propio.",小孩上初中,中世紀歐洲民間故事中說青春期的小孩仿佛被惡魔換走了，不然怎麽變得那麽不一樣？要我說，他們沒有變，只是需要更多自己的空間了。,,,,,
182,小孩上高中,Child Starts High School,子どもが高校に入る,好像就在一瞬间，小孩就变得比你高了，但无论多高，他们仍然是小孩。,"In an instant they outgrow you — yet however tall, they remain your child.",一瞬で親より背が高くなる—それでも子どもは子どもだ。,life,,common,,,Ребенок ходит в старшую школу,"Кажется, всего за мгновение ребенок становится выше тебя, но как бы он не вырос, он все равно ребенок.",El niño va a la secundaria.,"Parece que en un instante, los niños crecen más altos que tú, pero no importa cuán altos sean, siguen siendo niños.",小孩上高中,好像就在一瞬間，小孩就變得比你高了，但無論多高，他們仍然是小孩。,,,,,
183,小孩上大学,Child Starts University,子どもが大学に入る,你想起了你的曾经，看到相似的过往。,You recall your own past when you see theirs.,自分の過去が蘇る。,life,,common,,,Ребенок ходит в университет,Вы вспомнили свое прошлое и увидели похожие воспоминания.,El Niño Va A La Universidad,Te acuerdas de tu pasado y ves un pasado similar.,小孩上大學,你想起了你的曾經，看到相似的過往。,,,,,
184,小孩结婚,Child Gets Married,子どもが結婚する,他也要有他的另一半了，祝愿他一切都好。如果不好，也随时欢迎回来。,"He has his other half now — wish him well. If not, home is always open.",彼にも相手ができた。幸せを祈る。ダメならいつでも帰っておいで。,life,,common,,,Дети женятся,"У него тоже появится своя вторая половинка, желаю ему всего наилучшего. Если что-то пойдет не так, он всегда может вернуться.",Niños Casados,"Él también tendrá a su mitad, le deseo todo lo mejor. Si no es así, siempre es bienvenido de vuelta.",小孩結婚,他也要有他的另一半了，祝願他一切都好。如果不好，也隨時歡迎回來。,,,,,
185,考过四级,Passing CET-4,CET-4に合格する,最好是大一就考，那会是未来大学四年中英语水平最高的时候。,Better to pass CET-4 in freshman year — your English peak in college.,大学一年でCET-4合格がベスト。大学四年で英語力が最高潮になるから。,study,,common,,,Сдали КЭТ-4,"Лучше сдать экзамен в первый год университета, это будет период с самым высоким уровнем английского за следующие четыре года обучения в университете.",Pasar el nivel cuatro del examen CET,"Es mejor presentarse en el primer año de universidad, ya que en ese momento tendrás el nivel de inglés más alto en los próximos cuatro años universitarios.",考過四級,最好是大一就考，那會是未來大學四年中英語水平最高的時候。,,,,,
186,考过六级,Passing CET-6,CET-6に合格する,也建议大一就考，这样后面就有时间考托福或雅思了。,Also take CET-6 early to leave time for TOEFL or IELTS.,CET-6も早めに合格し、その後TOEFLやIELTSを狙おう。,study,,common,,,Сдал CET-6,"Также рекомендуется сдать экзамен в первый год университета, тогда у вас будет больше времени для сдачи TOEFL или IELTS.",Pasé el nivel seis del examen CET,"También se recomienda presentarlo en el primer año de universidad, de modo que luego haya tiempo para rendir el TOEFL o el IELTS.",考過六級,也建議大一就考，這樣後面就有時間考托福或雅思了。,,,,,
187,饥肠辘辘,Hungry,空腹,我是亨格利！,I am hungry!,私はハングリーだ！,quest,,common,,,Голодный до смерти,Я Хенгли!,Con hambre,¡Soy Hengli!,饑腸轆轆,我是亨格利！,,,,,
188,带父母去旅游,Traveling With Parents,両親を旅行に連れて行く,小时候他们带着我，我一直哭，嚷着要买玩具。现在我带着他们，不管吃什么玩什么他们都说好。,"When they took me for travelling, I was crying for toys. Now with me, they enjoy whatever I choose.",昔、彼らは私が泣いておもちゃをねだった。今、私が連れて行くと何をしても喜ぶ。,life,,rare,,,Путешествие с родителями,"Когда я был маленьким, они меня водили, и я всё плакал, кричал, что хочу купить игрушки. Теперь я их веду, и они говорят ""хорошо"" ко всему, что едят или играют.",Llevar a los padres de viaje,"Cuando era niño, ellos me llevaban y yo lloraba todo el tiempo, gritando que quería comprar juguetes. Ahora yo los llevo, y no importa qué coman o qué hagan, siempre dicen que está bien.",帶父母去旅遊,小時候他們帶著我，我一直哭，嚷著要買玩具。現在我帶著他們，不管吃什麽玩什麽他們都說好。,,,,,
189,滑旱冰,Rollerblading,インラインスケートをする,别看了，你的旱冰鞋并不会鞋跟碰一下就开始自动移动。,Don’t expect your skates to move by themselves with one skate heel—get rolling!,かかと一つでは動かない。さあ滑ろう！,sports,,common,,,катание на роликах,"Не смотри, твои ролики не начнут двигаться автоматически, если ты стучишь по каблукам.",Patinar en línea,"No mires, tus patines no van a empezar a moverse automáticamente solo por tocar los tacones.",滑旱冰,別看了，你的旱冰鞋並不會鞋跟碰一下就開始自動移動。,,,,,
190,跳摇摆舞,Swing Dance,スイングダンス  ,我去上的第一堂课，跳舞老师告诉我自信最重要，只有自信了才能放松，只有放松了才能摇摆。,"I went to my first dance class. The teacher told me confidence is key—only when you’re confident can you relax, and only when you relax can you swing.  ",初めてのダンスレッスンに行った。先生は自信が一番大事だと言った。自信があってこそリラックスでき、リラックスしてこそスイングできる。  ,quest,,common,,,танцевать джаз-фолк,"Первое занятие, которое я посещал, танцевальный преподаватель сказал мне, что самуверенность самая важная, только будучи самуверенным, можно расслабиться, и только будучи расслабленным, можно раскачиваться.",Bailar el swing,"En la primera clase a la que asistí, el profesor de danza me dijo que la confianza en sí mismo es lo más importante, que solo cuando se tiene confianza se puede relajar, y que solo cuando se está relajado se puede mover al compás.",跳搖擺舞,我去上的第一堂課，跳舞老師告訴我自信最重要，只有自信了才能放松，只有放松了才能搖擺。,,,,,
191,拦下车去要去的地方,Hail A Ride To Your Destination,目的地まで車を止める  ,"计划是两点十五的车票，在短暂的纠结之后我们选择了公交车，但是随着公交车晃悠晃悠，我们开始产生了怀疑：我们真的能赶上15点24分的车吗？于是我们跳下了车，决定打出租车去KTX，哪知道左右等不到车，这个时候我们走投无路了，决定拦过往的车辆。
第一辆车很不顺利，看都没看我一眼就走了。我的同伴已经万念俱灰，我咬咬牙，又冲了上去，敲敲车窗。车里的夫妇显然被吓了一跳，他们不通英语，我又不懂韩文，比划着比划着他们倒是知道我们要去KTX。我们连声称谢，下了车一路狂奔，最后在还有6分钟时火速取了行李上了车。","The plan was a 2:15 train. After a brief hesitation we took the bus, but as it jolted along we began to doubt: could we make the 3:24 departure? We jumped off and decided to hail a taxi to the KTX. No cabs came, so we flagged down passing cars.  
The first car drove off without a glance. My companion was despondent. I gritted my teeth, knocked on the window. The startled couple inside didn’t speak English and I don’t know Korean, but through gestures they understood KTX. We thanked them profusely, dashed off, grabbed our bags with six minutes to spare, and boarded.","計画は2:15の列車だった。少し迷った後バスに乗ったが、揺れるうちに本当に3:24に間に合うか疑問が湧いた。降りてKTXまでタクシーを呼ぼうとしたが来ない。通りかかる車を止めることにした。  
最初の車は一瞥もせず去った。相棒は落胆した。私は歯を食いしばり、窓をノックした。中の夫婦は英語ができず、私は韓国語ができないが、身振りでKTX行きを伝えた。大いに礼を言い、荷物を抱えて六分前に飛び乗った。",quest,,rare,,,"Остановили машину, чтобы доехать куда нужно","План был — поезд в 14:15, но сомнения в автобусе заставили нас прыгнуть в такси. Когда не получилось, пришлось ловить проезжающие машины. Первая попытка — провал, но вторая оказалась удачной: жестами объяснили корейской паре, что нам нужно на KTX. Добежали до поезда и успели за 6 минут до отправления.",Paramos un coche para llegar a nuestro destino,"El plan era tomar el tren de las 14:15, pero dudando en el autobús decidimos cambiar a taxi. Al no conseguir uno, intentamos parar coches en la carretera. El primer intento fracasó, pero el segundo funcionó: con gestos explicamos a una pareja coreana que íbamos al KTX. Bajamos corriendo y alcanzamos el tren con 6 minutos de sobra.",攔下車去要去的地方,"計劃是兩點十五的車票，在短暫的糾結之後我們選擇了公交車，但是隨著公交車晃悠晃悠，我們開始產生了懷疑：我們真的能趕上15點24分的車嗎？於是我們跳下了車，決定打出租車去KTX，哪知道左右等不到車，這個時候我們走投無路了，決定攔過往的車輛。
第一輛車很不順利，看都沒看我一眼就走了。我的同伴已經萬念俱灰，我咬咬牙，又沖了上去，敲敲車窗。車裏的夫婦顯然被嚇了一跳，他們不通英語，我又不懂韓文，比劃著比劃著他們倒是知道我們要去KTX。我們連聲稱謝，下了車一路狂奔，最後在還有6分鐘時火速取了行李上了車。",,,,,
192,放牛,Herd Cattle,牛の世話をする  ,"初中我爸为了教育我，跟我说我身在福中不知福，他们那个时候放了学还要去放牛。
我反唇相讥：“我现在倒是想放呢，感觉应该挺好玩的。”他哑口无言，转身去抄家伙去了。","In middle school my dad told me I was ‘blissfully unaware’—back then after class they still had to herd cattle.  
I retorted, ‘I’d love to herd them now—it sounds like fun.’ He had no reply and went off to fetch his stick.","中学の頃、父は『幸せに気づかない』と言った。当時は放課後に牛を放していたからだ。 
私は返した。『今やってみたいよ。楽しそうだ』父は言い返せず、道具を取りに行った。",quest,,rare,,,Пасти коров,"В средней школе отец хотел меня проучить и сказал, что я не ценю своё счастье. В его время после уроков они ещё должны были пасти коров.
Я огрызнулся: «А я бы сейчас не прочь пасти, должно быть весело». Он онемел, повернулся и пошёл за дубинкой.",Pastorear vacas,"En la secundaria, mi padre quiso darme una lección y me dijo que no sabía valorar mi vida cómoda. En su época, después de clases todavía tenían que ir a pastorear vacas.
Yo le respondí: «Pues yo sí que quiero pastorear, seguro es divertido». Se quedó sin palabras, se dio la vuelta y fue a buscar un palo.",放牛,"初中我爸為了教育我，跟我說我身在福中不知福，他們那個時候放了學還要去放牛。
我反唇相譏：「我現在倒是想放呢，感覺應該挺好玩的。」他啞口無言，轉身去抄家夥去了。",,,,,
193,摘草莓,Pick Strawberries,イチゴを摘む  ,我净挑大的摘，摘了后擦一擦就放到我的框里。事后我洗干净了迫不及待送进嘴里，呸，好酸。,"I always picked the biggest berries, wiped them off, and tossed them in my basket. Later I washed and popped one in my mouth—ugh, so sour.",いつも大きい実を選んで拭いてかごに入れた。後で洗ってかじったら…うえっ、すごく酸っぱい。,quest,,common,,,Собирать клубнику,"Я всегда выбирал самые большие ягоды, сорвал, протёр и складывал в корзину. А потом, когда помыл и попробовал — фу, какие кислые.",Cosechar fresas,"Siempre elegía las más grandes, las limpiaba un poco y las ponía en mi cesta. Luego, al lavarlas y comerlas, ¡puaj, qué ácidas!",摘草莓,我凈挑大的摘，摘了後擦一擦就放到我的框裏。事後我洗幹凈了迫不及待送進嘴裏，呸，好酸。,,,,,
194,养盆栽,Bonsai,鉢植えを育てる  ,逛集市遇到一个盆栽摊，我看它有缘就领它回家，还给它起了个名字叫“胡说树”。,"I saw a bonsai stall at the market, felt a connection, brought it home and named it “Sudowoodo.”  ",市場で盆栽の屋台を見つけ、縁を感じて連れ帰り「ウソッキー」と名付けた。,quest,,common,,,Вырастить комнатное растение,"На рынке я наткнулся на лавку с растениями. Мне показалось, что это судьба, и я взял одно домой. Я дал ему имя «Sudowoodo».",Cuidar una planta en maceta,En el mercado vi un puesto de plantas en maceta. Me pareció una señal y me llevé una a casa. Le puse de nombre «Sudowoodo».,養盆栽,逛集市遇到一個盆栽攤，我看它有緣就領它回家，還給它起了個名字叫「胡說樹」。,,,,,
195,3D打印,3D Print,3Dプリント  ,自从接触了3D打印之后，家里多出来了好多废料和杂七杂八的小玩具。,"Since started 3D printing, my home has filled with scraps and random little toys.  ",3Dプリントを始めてから、家には廃材やいろんな小さな玩具が増えた。,skills,,common,,,3D-печать,"С тех пор как я занялся 3D-печатью, дома стало полно отходов и всяких мелких игрушек.",Impresión 3D,"Desde que empecé con la impresión 3D, en casa aparecieron un montón de desechos y pequeños juguetes varios.",3D打印,自從接觸了3D打印之後，家裏多出來了好多廢料和雜七雜八的小玩具。,,,,,
196,陶艺,Pottery,陶芸  ,玩泥巴呀玩泥巴。,"Playing in the mud, you let the earth squish between your fingers and laugh.  ",泥の中で遊び、指の間で土を感じて笑った。,skills,,common,,,Гончарное дело,"Играть с глиной, просто играть с глиной.",Alfarería,"Jugar con barro, simplemente jugar con barro.",陶藝,玩泥巴呀玩泥巴。,,,,,
197,自制皮具,Make Leather Goods,革製品を作る  ,做一个小钱包，里面藏私房钱；做一个小卡夹，塞满信用卡；做一个小皮带，勒紧裤腰带。,You crafted a small wallet and hid your secret savings inside. You made a little card holder and stuffed it full of credit cards. You fashioned a tiny belt and tightened your trousers with pride.  ,小さな財布を作り、内緒の貯金をそっと隠した。小さなカードケースを作り、クレジットカードをぎゅうぎゅうに詰めた。小さなベルトを作り、腰回りをきゅっと締めた。  ,skills,,common,,,Домашнее изготовление кожаной продукции,"Сделайте маленький бумажник, где спрячете личные деньги; сделайте маленький кардхолдер, набитый кредитными картами; сделайте маленький ремень, чтобы подтянуть ремень брюк.",Artesanía de Cuero Casera,Haz una cartera pequeña y esconde el dinero secreto en ella; haz un porta tarjetas pequeño y llénalo de tarjetas de crédito; haz un cinturón pequeño y ajústalo bien el pantalón.,自製皮具,做一個小錢包，裏面藏私房錢；做一個小卡夾，塞滿信用卡；做一個小皮帶，勒緊褲腰帶。,,,,,
198,自制香水,Make Perfume,自家製香水を作る  ,嗅觉是人类最持久的记忆，当那个人身上的香味再一次在地铁闻到，久远的思绪一下子又把你拉回当时。,"Smell is humanity’s most enduring memory; when that scent returns on the subway, you’re instantly back in that moment.  ",嗅覚は人類で最も長く残る記憶。地下鉄であの人の香りを再び嗅ぐと、一瞬であの時に戻る。  ,quest,,common,,,Домашний парфюм,"Обоняние — это самое долговечное человеческое воспоминание. Когда аромат того человека снова ощущается в метро, далекие мысли мгновенно возвращают тебя в то время.",Perfume casero,"El olfato es el recuerdo más duradero del ser humano; cuando el aroma de esa persona se percibe nuevamente en el metro, los pensamientos lejanos te transportan de repente de vuelta a aquel momento.",自製香水,嗅覺是人類最持久的記憶，當那個人身上的香味再一次在地鐵聞到，久遠的思緒一下子又把你拉回當時。,,,,,
199,支教,Teach As A Volunteer,農村で教える  ,告诉他们这个世界有多大，有多精彩，让他们自己去看看。,"You tell them how vast and wonderful the world is, and send them off to see it for themselves.  ",この世界の広さと素晴らしさを伝え、自分の目で確かめに行くように促す。  ,quest,,rare,,,волонтерское преподавание в глубинке страны,"Расскажи им, насколько велик и прекрасен этот мир, пусть они увидят это сами.",Voluntariado Educativo,"Diles lo grande y maravilloso que es el mundo, y déjalos verlo por sí mismos.",支教,告訴他們這個世界有多大，有多精彩，讓他們自己去看看。,,,,,
